Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0xb78cf7cdb320	UDPv6	fe80::d18c:bb1:3264:8c8	55735	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf7cdb7d0	UDPv6	::1	55736	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf7cdc900	UDPv4	127.0.0.1	50408	*	0		1536	secd.exe	2020-11-11 08:14:23.000000 UTC
0xb78cf7cdd0d0	UDPv4	0.0.0.0	0	*	0		8432	googledrivesyn	2020-11-16 02:33:17.000000 UTC
0xb78cf7cdd0d0	UDPv6	::	0	*	0		8432	googledrivesyn	2020-11-16 02:33:17.000000 UTC
0xb78cf7f26010	TCPv4	192.168.1.5	53649	17.248.138.109	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-12 06:06:11.000000 UTC
0xb78cf7fccb50	TCPv4	192.168.1.5	3389	81.30.144.115	51238	CLOSED	1248	svchost.exe	2020-11-16 02:36:19.000000 UTC
0xb78cf80968a0	TCPv4	192.168.1.5	3389	81.30.144.115	14974	CLOSED	1248	svchost.exe	2020-11-16 02:35:21.000000 UTC
0xb78cf80f4a20	TCPv4	192.168.1.5	3389	81.30.144.115	22226	CLOSED	1248	svchost.exe	2020-11-16 02:35:39.000000 UTC
0xb78cf88cb910	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2020-11-11 08:13:19.000000 UTC
0xb78cf88cb910	TCPv6	::	445	::	0	LISTENING	4	System	2020-11-11 08:13:19.000000 UTC
0xb78cf88cbd30	TCPv4	0.0.0.0	49671	0.0.0.0	0	LISTENING	828	services.exe	2020-11-11 08:13:20.000000 UTC
0xb78cf88cbd30	TCPv6	::	49671	::	0	LISTENING	828	services.exe	2020-11-11 08:13:20.000000 UTC
0xb78cf88f0010	TCPv4	192.168.1.5	64361	17.248.138.82	443	CLOSE_WAIT	12756	iCloudServices	2020-11-14 08:14:48.000000 UTC
0xb78cf8c2f300	TCPv4	192.168.1.5	3389	81.30.144.115	53145	CLOSED	1248	svchost.exe	2020-11-16 02:31:26.000000 UTC
0xb78cf8cc6070	UDPv4	0.0.0.0	53649	*	0		21408	Teams.exe	2020-11-14 13:37:47.000000 UTC
0xb78cf8cc6390	UDPv4	127.0.0.1	49228	*	0		12532	iCloudPhotos.e	2020-11-11 08:14:53.000000 UTC
0xb78cf8cc6840	UDPv4	127.0.0.1	49672	*	0		13260	iCloudDrive.ex	2020-11-11 08:15:04.000000 UTC
0xb78cf8cc71a0	UDPv4	127.0.0.1	49227	*	0		12532	iCloudPhotos.e	2020-11-11 08:14:53.000000 UTC
0xb78cf8cc7330	UDPv4	0.0.0.0	0	*	0		15636	Teams.exe	2020-11-11 08:14:38.000000 UTC
0xb78cf8cc7330	UDPv6	::	0	*	0		15636	Teams.exe	2020-11-11 08:14:38.000000 UTC
0xb78cf8cc74c0	UDPv4	0.0.0.0	61149	*	0		15636	Teams.exe	2020-11-11 08:14:45.000000 UTC
0xb78cf8cc74c0	UDPv6	::	61149	*	0		15636	Teams.exe	2020-11-11 08:14:45.000000 UTC
0xb78cf8cc7b00	UDPv4	0.0.0.0	56373	*	0		21408	Teams.exe	2020-11-14 13:38:26.000000 UTC
0xb78cf8cc7b00	UDPv6	::	56373	*	0		21408	Teams.exe	2020-11-14 13:38:26.000000 UTC
0xb78cf8cc7c90	UDPv4	127.0.0.1	49671	*	0		13260	iCloudDrive.ex	2020-11-11 08:15:04.000000 UTC
0xb78cf8cc7e20	UDPv4	0.0.0.0	59948	*	0		15636	Teams.exe	2020-11-11 08:14:45.000000 UTC
0xb78cf8cc7e20	UDPv6	::	59948	*	0		15636	Teams.exe	2020-11-11 08:14:45.000000 UTC
0xb78cf8cc8140	UDPv4	127.0.0.1	49686	*	0		12888	ApplePhotoStre	2020-11-11 08:14:48.000000 UTC
0xb78cf8cc82d0	UDPv4	127.0.0.1	49687	*	0		12888	ApplePhotoStre	2020-11-11 08:14:48.000000 UTC
0xb78cf8cc85f0	UDPv4	0.0.0.0	0	*	0		15636	Teams.exe	2020-11-11 08:14:37.000000 UTC
0xb78cf8cc8910	UDPv4	0.0.0.0	17500	*	0		-	-	2020-11-11 08:15:17.000000 UTC
0xb78cf8cc9400	UDPv4	0.0.0.0	53645	*	0		21408	Teams.exe	2020-11-14 13:37:42.000000 UTC
0xb78cf8cc9590	UDPv4	0.0.0.0	53646	*	0		21408	Teams.exe	2020-11-14 13:37:42.000000 UTC
0xb78cf8cc9720	UDPv4	0.0.0.0	53650	*	0		21408	Teams.exe	2020-11-14 13:37:47.000000 UTC
0xb78cf8cc98b0	UDPv4	0.0.0.0	53655	*	0		21408	Teams.exe	2020-11-14 13:37:48.000000 UTC
0xb78cf8cc9d60	UDPv4	0.0.0.0	64634	*	0		21408	Teams.exe	2020-11-14 13:18:16.000000 UTC
0xb78cf8cca080	UDPv4	0.0.0.0	53640	*	0		21408	Teams.exe	2020-11-14 13:37:38.000000 UTC
0xb78cf8cca210	UDPv4	0.0.0.0	60707	*	0		21408	Teams.exe	2020-11-14 12:53:15.000000 UTC
0xb78cf8cca3a0	UDPv4	0.0.0.0	53651	*	0		21408	Teams.exe	2020-11-14 13:37:47.000000 UTC
0xb78cf8cca850	UDPv4	0.0.0.0	53654	*	0		21408	Teams.exe	2020-11-14 13:37:48.000000 UTC
0xb78cf8cca9e0	UDPv4	0.0.0.0	53653	*	0		21408	Teams.exe	2020-11-14 13:37:47.000000 UTC
0xb78cf8ccad00	UDPv4	0.0.0.0	64629	*	0		21408	Teams.exe	2020-11-14 13:18:02.000000 UTC
0xb78cf8ccb1b0	UDPv4	0.0.0.0	64631	*	0		21408	Teams.exe	2020-11-14 13:18:16.000000 UTC
0xb78cf8ccb1b0	UDPv6	::	64631	*	0		21408	Teams.exe	2020-11-14 13:18:16.000000 UTC
0xb78cf8ccb4d0	UDPv4	0.0.0.0	53657	*	0		21408	Teams.exe	2020-11-14 13:37:59.000000 UTC
0xb78cf8ccb4d0	UDPv6	::	53657	*	0		21408	Teams.exe	2020-11-14 13:37:59.000000 UTC
0xb78cf8ccb7f0	UDPv4	0.0.0.0	64632	*	0		21408	Teams.exe	2020-11-14 13:18:16.000000 UTC
0xb78cf8ccc150	UDPv4	0.0.0.0	53644	*	0		21408	Teams.exe	2020-11-14 13:37:42.000000 UTC
0xb78cf8ccc2e0	UDPv4	0.0.0.0	53647	*	0		21408	Teams.exe	2020-11-14 13:37:42.000000 UTC
0xb78cf8ccc600	UDPv4	0.0.0.0	62843	*	0		-	-	2020-11-11 08:15:40.000000 UTC
0xb78cf8ccd5a0	UDPv4	0.0.0.0	62837	*	0		-	-	2020-11-11 08:15:39.000000 UTC
0xb78cf8fcc760	TCPv4	192.168.1.5	3389	81.30.144.115	27039	CLOSED	1248	svchost.exe	2020-11-16 02:36:13.000000 UTC
0xb78cf91ed260	TCPv4	192.168.1.5	61854	52.114.128.43	443	ESTABLISHED	11672	Teams.exe	2020-11-16 02:30:43.000000 UTC
0xb78cf92cea20	TCPv4	192.168.1.5	50048	17.248.138.109	443	CLOSED	13260	iCloudDrive.ex	2020-11-11 08:15:05.000000 UTC
0xb78cf92f0790	TCPv4	192.168.1.5	3389	213.202.233.104	18043	CLOSED	1248	svchost.exe	2020-11-16 02:36:01.000000 UTC
0xb78cf9557010	TCPv4	192.168.1.5	53771	17.248.138.80	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-14 00:03:56.000000 UTC
0xb78cf96f4700	TCPv4	192.168.1.5	3389	81.30.144.115	50436	CLOSED	1248	svchost.exe	2020-11-16 02:35:30.000000 UTC
0xb78cf98df010	TCPv4	192.168.1.5	3389	81.30.144.115	9137	CLOSED	1248	svchost.exe	2020-11-16 02:36:24.000000 UTC
0xb78cf9d1d010	TCPv4	192.168.1.5	61871	52.114.142.209	443	ESTABLISHED	11672	Teams.exe	2020-11-16 02:35:39.000000 UTC
0xb78cf9d57050	TCPv4	192.168.1.5	61728	17.248.138.16	443	CLOSE_WAIT	13260	iCloudDrive.ex	2020-11-16 02:00:52.000000 UTC
0xb78cf9d7e010	TCPv4	192.168.1.5	65497	172.217.10.74	443	CLOSE_WAIT	8432	googledrivesyn	2020-11-14 13:50:44.000000 UTC
0xb78cf9f68b20	TCPv4	192.168.1.5	3389	213.202.233.104	48086	CLOSED	1248	svchost.exe	2020-11-16 02:35:54.000000 UTC
0xb78cfa1935a0	TCPv4	192.168.1.5	3389	213.202.233.104	50882	CLOSED	1248	svchost.exe	2020-11-16 02:35:41.000000 UTC
0xb78cfa1c1d30	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	840	lsass.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfa47eb20	TCPv4	192.168.1.5	61837	23.197.181.157	80	ESTABLISHED	30012	WinStore.App.e	2020-11-16 02:30:26.000000 UTC
0xb78cfa5fc580	UDPv4	0.0.0.0	65258	*	0		11672	Teams.exe	2020-11-15 17:14:26.000000 UTC
0xb78cfa5fc580	UDPv6	::	65258	*	0		11672	Teams.exe	2020-11-15 17:14:26.000000 UTC
0xb78cfabf4270	UDPv4	0.0.0.0	52479	*	0		21408	Teams.exe	2020-11-14 12:40:39.000000 UTC
0xb78cfacc0b60	UDPv4	0.0.0.0	54226	*	0		21408	Teams.exe	2020-11-14 13:37:30.000000 UTC
0xb78cfacc38b0	UDPv4	0.0.0.0	51266	*	0		21408	Teams.exe	2020-11-14 13:16:56.000000 UTC
0xb78cfacc4b70	UDPv4	0.0.0.0	54228	*	0		21408	Teams.exe	2020-11-14 13:37:32.000000 UTC
0xb78cfacc57f0	UDPv4	127.0.0.1	63453	*	0		13224	APSDaemon.exe	2020-11-11 08:14:27.000000 UTC
0xb78cfacc6600	UDPv4	0.0.0.0	3389	*	0		1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfacc6600	UDPv6	::	3389	*	0		1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfacc6dd0	UDPv4	0.0.0.0	3389	*	0		1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb8050	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	752	wininit.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb8050	TCPv6	::	49665	::	0	LISTENING	752	wininit.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb81b0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2936	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb8310	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	3860	spoolsv.exe	2020-11-11 08:13:18.000000 UTC
0xb78cfadb8310	TCPv6	::	49669	::	0	LISTENING	3860	spoolsv.exe	2020-11-11 08:13:18.000000 UTC
0xb78cfadb8890	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1040	svchost.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb89f0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	3108	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb8cb0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	3108	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb8cb0	TCPv6	::	49667	::	0	LISTENING	3108	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb8e10	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2936	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb8e10	TCPv6	::	49668	::	0	LISTENING	2936	svchost.exe	2020-11-11 08:13:17.000000 UTC
0xb78cfadb90d0	TCPv4	0.0.0.0	49671	0.0.0.0	0	LISTENING	828	services.exe	2020-11-11 08:13:20.000000 UTC
0xb78cfadb94f0	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb94f0	TCPv6	::	3389	::	0	LISTENING	1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb9650	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	752	wininit.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb97b0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1804	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb9910	TCPv4	0.0.0.0	3389	0.0.0.0	0	LISTENING	1248	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb9a70	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1804	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb9a70	TCPv6	::	49666	::	0	LISTENING	1804	svchost.exe	2020-11-11 08:13:16.000000 UTC
0xb78cfadb9d30	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	1040	svchost.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb9d30	TCPv6	::	135	::	0	LISTENING	1040	svchost.exe	2020-11-11 08:13:14.000000 UTC
0xb78cfadb9e90	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	3860	spoolsv.exe	2020-11-11 08:13:18.000000 UTC
0xb78cfce85010	TCPv4	192.168.1.5	3389	213.202.233.104	51786	CLOSED	1248	svchost.exe	2020-11-16 02:33:22.000000 UTC
0xb78cfec03010	TCPv4	192.168.1.5	3389	81.30.144.115	47020	CLOSED	1248	svchost.exe	2020-11-16 02:32:29.000000 UTC
0xb78cfecf83a0	UDPv4	127.0.0.1	63454	*	0		13224	APSDaemon.exe	2020-11-11 08:14:27.000000 UTC
0xb78cfecf89e0	UDPv4	0.0.0.0	63845	*	0		-	-	2020-11-14 04:40:09.000000 UTC
0xb78cfecf89e0	UDPv6	::	63845	*	0		-	-	2020-11-14 04:40:09.000000 UTC
0xb78cfecf9340	UDPv4	127.0.0.1	49668	*	0		5084	svchost.exe	2020-11-11 08:13:19.000000 UTC
0xb78cfecfaab0	UDPv4	0.0.0.0	59045	*	0		5928	svchost.exe	2020-11-11 08:13:27.000000 UTC
0xb78cfecfb280	UDPv4	0.0.0.0	61106	*	0		6416	OfficeClickToR	2020-11-11 08:15:43.000000 UTC
0xb78cfecfb410	UDPv4	0.0.0.0	59046	*	0		5928	svchost.exe	2020-11-11 08:13:27.000000 UTC
0xb78cfecfb410	UDPv6	::	59046	*	0		5928	svchost.exe	2020-11-11 08:13:27.000000 UTC
0xb78cff052550	TCPv4	192.168.1.5	63475	172.217.12.141	443	CLOSE_WAIT	8432	googledrivesyn	2020-11-14 05:11:35.000000 UTC
0xb78cff2293d0	TCPv4	192.168.1.5	3389	81.30.144.115	38498	CLOSED	1248	svchost.exe	2020-11-16 02:33:33.000000 UTC
0xb78cff4408b0	TCPv4	192.168.1.5	3389	81.30.144.115	3086	CLOSED	1248	svchost.exe	2020-11-16 02:33:23.000000 UTC
0xb78cff66a010	TCPv4	192.168.1.5	3389	213.202.233.104	37805	CLOSED	1248	svchost.exe	2020-11-16 02:33:18.000000 UTC
0xb78cff67ba20	TCPv4	192.168.1.5	3389	213.202.233.104	17306	CLOSED	1248	svchost.exe	2020-11-16 02:33:14.000000 UTC
0xb78cff6dd8a0	TCPv4	192.168.1.5	3389	81.30.144.115	20371	CLOSED	1248	svchost.exe	2020-11-16 02:33:44.000000 UTC
0xb78cff6dfb30	TCPv4	192.168.1.5	3389	81.30.144.115	50586	CLOSED	1248	svchost.exe	2020-11-16 02:33:04.000000 UTC
0xb78cff769050	TCPv4	192.168.1.5	49417	52.242.211.89	443	ESTABLISHED	4872	svchost.exe	2020-11-13 20:18:45.000000 UTC
0xb78cffafb8a0	TCPv4	127.0.0.1	61740	127.0.0.1	61741	ESTABLISHED	14832	GoogleDriveFS.	2020-11-16 02:09:00.000000 UTC
0xb78cffc5f4b0	TCPv4	192.168.1.5	61867	52.113.194.132	443	ESTABLISHED	24920	SearchFilterHo	2020-11-16 02:33:38.000000 UTC
0xb78cffcb4b00	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	7444	svchost.exe	2020-11-11 08:13:42.000000 UTC
0xb78cffec6010	TCPv4	192.168.1.5	3389	213.202.233.104	22189	CLOSED	1248	svchost.exe	2020-11-16 02:33:00.000000 UTC
0xb78d000fc0e0	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2020-11-11 08:13:27.000000 UTC
0xb78d000fc0e0	TCPv6	::	5357	::	0	LISTENING	4	System	2020-11-11 08:13:27.000000 UTC
0xb78d0015b260	TCPv4	192.168.1.5	3389	213.202.233.104	55747	CLOSED	1248	svchost.exe	2020-11-16 02:33:09.000000 UTC
0xb78d001e7260	TCPv4	192.168.1.5	3389	81.30.144.115	1973	CLOSED	1248	svchost.exe	2020-11-16 02:33:55.000000 UTC
0xb78d006ec010	TCPv4	192.168.1.5	3389	213.202.233.104	16707	CLOSED	1248	svchost.exe	2020-11-16 02:35:33.000000 UTC
0xb78d00a1a270	TCPv4	192.168.1.5	3389	81.30.144.115	32617	CLOSED	1248	svchost.exe	2020-11-16 02:35:09.000000 UTC
0xb78d00aad010	TCPv4	192.168.1.5	61793	52.114.132.120	443	ESTABLISHED	11672	Teams.exe	2020-11-16 02:29:39.000000 UTC
0xb78d00b3a010	TCPv4	192.168.1.5	3389	213.202.233.104	30662	CLOSED	1248	svchost.exe	2020-11-16 02:35:36.000000 UTC
0xb78d00b7b4d0	TCPv4	192.168.1.5	61864	52.114.75.149	443	CLOSED	9648	OneDrive.exe	2020-11-16 02:32:55.000000 UTC
0xb78d00e47b40	TCPv4	192.168.1.5	3389	213.202.233.104	58072	CLOSED	1248	svchost.exe	2020-11-16 02:31:18.000000 UTC
0xb78d0546b8a0	TCPv4	127.0.0.1	61741	127.0.0.1	61740	ESTABLISHED	14832	GoogleDriveFS.	2020-11-16 02:09:00.000000 UTC
0xb78d05787010	TCPv4	192.168.1.5	3389	81.30.144.115	35595	CLOSED	1248	svchost.exe	2020-11-16 02:32:26.000000 UTC
0xb78d0578d2c0	TCPv4	192.168.1.5	65528	17.248.138.43	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-14 04:36:17.000000 UTC
0xb78d057c02b0	TCPv4	192.168.1.5	3389	81.30.144.115	10812	CLOSED	1248	svchost.exe	2020-11-16 02:32:36.000000 UTC
0xb78d05977010	TCPv4	192.168.1.5	61861	13.107.136.9	443	ESTABLISHED	9648	OneDrive.exe	2020-11-16 02:32:45.000000 UTC
0xb78d05991010	TCPv4	192.168.1.5	3389	81.30.144.115	27419	CLOSED	1248	svchost.exe	2020-11-16 02:32:57.000000 UTC
0xb78d05aa74b0	TCPv4	192.168.1.5	53582	17.248.138.72	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-12 06:05:03.000000 UTC
0xb78d05b108a0	TCPv4	192.168.1.5	61783	142.250.64.106	443	CLOSE_WAIT	14832	GoogleDriveFS.	2020-11-16 02:26:52.000000 UTC
0xb78d05bc1b40	TCPv4	192.168.1.5	3389	81.30.144.115	5126	CLOSED	1248	svchost.exe	2020-11-16 02:32:01.000000 UTC
0xb78d05c9b010	TCPv4	192.168.1.5	3389	81.30.144.115	3308	CLOSED	1248	svchost.exe	2020-11-16 02:35:34.000000 UTC
0xb78d09289b40	TCPv4	192.168.1.5	3389	81.30.144.115	52468	CLOSED	1248	svchost.exe	2020-11-16 02:32:15.000000 UTC
0xb78d0934b260	TCPv4	192.168.1.5	61863	52.114.75.149	443	ESTABLISHED	9648	OneDrive.exe	2020-11-16 02:32:55.000000 UTC
0xb78d0935b010	TCPv4	192.168.1.5	59836	17.248.138.46	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-12 16:28:53.000000 UTC
0xb78d093f4780	TCPv4	192.168.1.5	3389	81.19.209.101	50424	SYN_RCVD	1248	svchost.exe	2020-11-16 02:33:32.000000 UTC
0xb78d09513050	TCPv4	192.168.1.5	3389	213.202.233.104	1453	CLOSED	1248	svchost.exe	2020-11-16 02:32:28.000000 UTC
0xb78d0951d010	TCPv4	192.168.1.5	54207	17.248.138.8	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-14 01:05:47.000000 UTC
0xb78d0963c010	TCPv4	192.168.1.5	49986	52.167.249.196	443	CLOSED	10136	Cortana.exe	2020-11-11 08:14:53.000000 UTC
0xb78d096524a0	TCPv4	192.168.1.5	3389	81.30.144.115	15413	CLOSED	1248	svchost.exe	2020-11-16 02:33:10.000000 UTC
0xb78d0967b560	TCPv4	192.168.1.5	54346	17.248.138.16	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-14 01:17:40.000000 UTC
0xb78d09695260	TCPv4	192.168.1.5	61809	13.107.136.254	443	CLOSED	8312	SearchApp.exe	2020-11-16 02:29:44.000000 UTC
0xb78d096a84b0	TCPv4	192.168.1.5	3389	81.30.144.115	16456	CLOSED	1248	svchost.exe	2020-11-16 02:32:37.000000 UTC
0xb78d096b9a70	TCPv4	192.168.1.5	50010	17.248.138.109	443	CLOSED	12532	iCloudPhotos.e	2020-11-11 08:14:56.000000 UTC
0xb78d096c97f0	TCPv4	192.168.1.5	50475	52.179.224.121	443	ESTABLISHED	6188	OneDrive.exe	2020-11-13 19:56:50.000000 UTC
0xb78d0972fb50	TCPv4	192.168.1.5	61721	142.250.64.74	443	CLOSE_WAIT	8432	googledrivesyn	2020-11-16 01:57:39.000000 UTC
0xb78d09855260	TCPv4	192.168.1.5	3389	81.30.144.115	26593	CLOSED	1248	svchost.exe	2020-11-16 02:33:30.000000 UTC
0xb78d098e3010	TCPv4	192.168.1.5	50055	17.248.138.109	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-13 01:26:27.000000 UTC
0xb78d09a15a20	TCPv4	192.168.1.5	3389	213.202.233.104	28452	CLOSED	1248	svchost.exe	2020-11-16 02:33:30.000000 UTC
0xb78d09a329a0	TCPv4	192.168.1.5	50052	17.248.138.110	443	CLOSED	13260	iCloudDrive.ex	2020-11-11 08:15:05.000000 UTC
0xb78d09b3e010	TCPv4	192.168.1.5	49816	17.248.138.46	443	CLOSED	12756	iCloudServices	2020-11-11 08:14:15.000000 UTC
